STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Kolkata,1993-03-15 10:00:00,0.86,2.15,1993,3,10,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,1.29
Kolkata,1993-03-15 11:00:00,0.91,2.59,1993,3,11,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,1.6799999999999997
Kolkata,1993-03-15 12:00:00,0.98,2.85,1993,3,12,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,1.87
Kolkata,1993-03-15 13:00:00,1.01,2.77,1993,3,13,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,1.76
Kolkata,1993-03-15 14:00:00,0.89,2.52,1993,3,14,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,1.63
Kolkata,1993-03-15 15:00:00,0.8,2.1,1993,3,15,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,1.3
Kolkata,1993-03-15 16:00:00,0.62,1.47,1993,3,16,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.85
Kolkata,1993-03-15 17:00:00,0.42,0.76,1993,3,17,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.34
Kolkata,1993-03-15 18:00:00,0.12,0.17,1993,3,18,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,0.05000000000000002
Kolkata,1993-03-15 19:00:00,0.0,0.0,1993,3,19,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,0.0
Kolkata,1993-03-15 20:00:00,0.0,0.0,1993,3,20,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.0
Kolkata,1993-04-15 05:00:00,0.0,0.0,1993,4,5,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0
Kolkata,1993-04-15 06:00:00,0.02,0.02,1993,4,6,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0
Kolkata,1993-04-15 07:00:00,0.3,0.37,1993,4,7,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.07
